|-----|------------------------------|
| dB  |   tUI    |   EH   |    EW    |
|  2  | 125.00ps | 0.543V | 115.77ps |
|  2  | 125.00ps | 0.543V | 115.81ps |
|  2  | 125.00ps | 0.543V | 115.86ps |
|  2  | 125.00ps | 0.543V | 115.90ps |
|  2  | 125.00ps | 0.544V | 115.94ps |
|  2  | 125.00ps | 0.544V | 115.98ps |
|  2  | 125.00ps | 0.544V | 116.02ps |
|  2  | 125.00ps | 0.544V | 116.06ps |
|  2  | 125.00ps | 0.544V | 116.11ps |
|  2  | 125.00ps | 0.544V | 116.15ps |
|  2  | 125.00ps | 0.545V | 116.19ps |
|  2  | 125.00ps | 0.545V | 116.21ps |
|  2  | 125.00ps | 0.545V | 116.23ps |
|  2  | 125.00ps | 0.545V | 116.24ps |
|  2  | 125.00ps | 0.545V | 116.26ps |
|  2  | 125.00ps | 0.545V | 116.27ps |
|  2  | 125.00ps | 0.546V | 116.29ps |
|  2  | 125.00ps | 0.546V | 116.30ps |
|  2  | 125.00ps | 0.546V | 116.32ps |
|  2  | 125.00ps | 0.546V | 116.33ps |
|  2  | 125.00ps | 0.546V | 116.34ps |
|  2  | 125.00ps | 0.547V | 116.36ps |
|  2  | 125.00ps | 0.547V | 116.37ps |
|  2  | 125.00ps | 0.547V | 116.39ps |
|  2  | 125.00ps | 0.547V | 116.40ps |
|  2  | 125.00ps | 0.547V | 116.42ps |
|  2  | 125.00ps | 0.547V | 116.41ps |
|  2  | 125.00ps | 0.548V | 116.39ps |
|  2  | 125.00ps | 0.548V | 116.38ps |
|  2  | 125.00ps | 0.548V | 116.36ps |
|  2  | 125.00ps | 0.548V | 116.35ps |
|  2  | 125.00ps | 0.548V | 116.33ps |
|  2  | 125.00ps | 0.548V | 116.31ps |
|  2  | 125.00ps | 0.549V | 116.30ps |
|  2  | 125.00ps | 0.549V | 116.28ps |
|  2  | 125.00ps | 0.549V | 116.27ps |
|  2  | 125.00ps | 0.549V | 116.25ps |
|  2  | 125.00ps | 0.549V | 116.24ps |
|  2  | 125.00ps | 0.549V | 116.22ps |
|  2  | 125.00ps | 0.550V | 116.21ps |
|  2  | 125.00ps | 0.550V | 116.19ps |
|  2  | 125.00ps | 0.550V | 116.17ps |
|  2  | 125.00ps | 0.550V | 116.16ps |
|  3  | 125.00ps | 0.550V | 116.14ps |
|  3  | 125.00ps | 0.550V | 116.13ps |
|  3  | 125.00ps | 0.551V | 116.11ps |
|  3  | 125.00ps | 0.551V | 116.10ps |
|  3  | 125.00ps | 0.551V | 116.08ps |
|  3  | 125.00ps | 0.551V | 116.06ps |
|  3  | 125.00ps | 0.551V | 116.05ps |
|  3  | 125.00ps | 0.551V | 116.03ps |
|  3  | 125.00ps | 0.551V | 116.02ps |
|  3  | 125.00ps | 0.551V | 116.00ps |
|  3  | 125.00ps | 0.551V | 115.99ps |
|  3  | 125.00ps | 0.550V | 115.97ps |
|  3  | 125.00ps | 0.550V | 115.96ps |
|  3  | 125.00ps | 0.550V | 115.94ps |
|  3  | 125.00ps | 0.550V | 115.92ps |
|  3  | 125.00ps | 0.550V | 115.91ps |
|  3  | 125.00ps | 0.550V | 115.43ps |
|  3  | 125.00ps | 0.549V | 115.42ps |
|  3  | 125.00ps | 0.549V | 115.40ps |
|  3  | 125.00ps | 0.549V | 115.39ps |
|  3  | 125.00ps | 0.549V | 115.37ps |
|  3  | 125.00ps | 0.549V | 115.36ps |
|  3  | 125.00ps | 0.549V | 115.34ps |
|  3  | 125.00ps | 0.548V | 115.33ps |
|  3  | 125.00ps | 0.548V | 115.31ps |
|  3  | 125.00ps | 0.548V | 115.30ps |
|  3  | 125.00ps | 0.548V | 115.28ps |
|  3  | 125.00ps | 0.548V | 115.27ps |
|  3  | 125.00ps | 0.548V | 115.25ps |
|  3  | 125.00ps | 0.548V | 115.24ps |
|  3  | 125.00ps | 0.547V | 115.22ps |
|  3  | 125.00ps | 0.547V | 115.21ps |
|  3  | 125.00ps | 0.547V | 115.19ps |
|  3  | 125.00ps | 0.547V | 115.18ps |
|  3  | 125.00ps | 0.547V | 115.16ps |
|  3  | 125.00ps | 0.547V | 115.15ps |
|  3  | 125.00ps | 0.546V | 115.13ps |
|  3  | 125.00ps | 0.546V | 115.12ps |
|  3  | 125.00ps | 0.546V | 115.10ps |
|  3  | 125.00ps | 0.546V | 115.09ps |
|  3  | 125.00ps | 0.546V | 115.07ps |
|  3  | 125.00ps | 0.546V | 115.06ps |
|  3  | 125.00ps | 0.545V | 115.04ps |
|  3  | 125.00ps | 0.545V | 115.03ps |
|  3  | 125.00ps | 0.545V | 115.01ps |
|  3  | 125.00ps | 0.545V | 115.00ps |
|  3  | 125.00ps | 0.545V | 114.98ps |
|  3  | 125.00ps | 0.545V | 114.97ps |
|  3  | 125.00ps | 0.544V | 114.96ps |
|  3  | 125.00ps | 0.544V | 114.94ps |
|  3  | 125.00ps | 0.544V | 114.93ps |
|  3  | 125.00ps | 0.544V | 114.91ps |
|  3  | 125.00ps | 0.544V | 114.90ps |
|  3  | 125.00ps | 0.544V | 114.88ps |
|  3  | 125.00ps | 0.544V | 114.87ps |
|  3  | 125.00ps | 0.543V | 114.85ps |
|  3  | 125.00ps | 0.543V | 114.84ps |
|  3  | 125.00ps | 0.543V | 114.82ps |
|  3  | 125.00ps | 0.542V | 114.81ps |
|  3  | 125.00ps | 0.542V | 114.79ps |
|  3  | 125.00ps | 0.541V | 114.78ps |
